player.playerId,name,player.photoURL,player.jumperNumber,team.name,Disposals,Marks,Goals,tackles,games
CD_I1001681,Jodie Hicks,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1001681.png,6,Richmond,12.16666667,1,0,2.666666667,6
CD_I1001686,Emma King,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1001686.png,60,Kangaroos,8.111111111,2.888888889,0.888888889,1.666666667,9
CD_I1003018,Jenna Bruton,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1003018.png,35,Kangaroos,14.61538462,2.153846154,0.615384615,2.769230769,13
CD_I1003019,Sabrina Frederick,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1003019.png,1,Collingwood,8.916666667,2.333333333,0.25,2.25,12
CD_I1003023,Tahlia Randall,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1003023.png,16,Kangaroos,9.4,3.533333333,1.6,1.466666667,15
CD_I1004415,Jaimee Lambert,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1004415.png,9,St Kilda,18,2.363636364,0.363636364,6.818181818,11
CD_I1005258,Eloise Jones,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005258.png,2,Adelaide Crows,9.928571429,3.071428571,1.071428571,2.714285714,14
CD_I1005264,Ashleigh Woodland,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005264.png,8,Port Adelaide,18,2.166666667,0.333333333,5,12
CD_I1005269,Anne Hatchard,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005269.png,33,Adelaide Crows,17.92857143,5.142857143,0.714285714,4.428571429,14
CD_I1005279,Ebony Marinoff,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005279.png,10,Adelaide Crows,27.71428571,3.571428571,0.142857143,10.92857143,14
CD_I1005285,Sarah Allan,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005285.png,39,Adelaide Crows,10.61538462,2.538461538,0,2.384615385,13
CD_I1005361,Daria Bannister,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005361.png,3,Essendon,8.7,1.8,0.4,2.3,10
CD_I1005374,Ellyse Gamble,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005374.png,14,Essendon,6.5,1.25,0,1.333333333,12
CD_I1005386,Stevie-Lee Thompson,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005386.png,14,Adelaide Crows,8.555555556,1.111111111,0.222222222,3.111111111,9
CD_I1005437,Laura Pugh,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005437.png,32,Fremantle,11.5,1,0.083333333,2.25,12
CD_I1005452,Nicola Barr,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005452.png,17,St Kilda,11.22222222,2.444444444,0,3.111111111,9
CD_I1005453,Rebecca Beeson,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005453.png,6,GWS GIANTS,21.5,2.333333333,0.083333333,5.75,12
CD_I1005630,Alexandra Anderson,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005630.png,18,Brisbane Lions,24.6,2.666666667,0.333333333,4.733333333,15
CD_I1005659,Arianna Clarke,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005659.png,34,St Kilda,5.142857143,0.428571429,0.142857143,2.571428571,7
CD_I1005661,Breanna Koenen,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005661.png,3,Brisbane Lions,13.75,4.166666667,0,3.166666667,12
CD_I1005663,Erica Fowler,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005663.png,17,Geelong Cats,5.875,1.75,0.125,2.625,8
CD_I1005863,Lauren Pearce,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005863.png,15,Melbourne,11.46666667,1.933333333,0.133333333,1.466666667,15
CD_I1005866,Ainslie Kemp,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005866.png,16,Hawthorn,15,3,0,0,1
CD_I1005955,Justine Mules-Robinson,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1005955.png,1,Port Adelaide,10.25,1.583333333,0.416666667,2.5,12
CD_I1006666,Sarah Hosking,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1006666.png,7,Richmond,8.666666667,2.333333333,0.166666667,2.833333333,6
CD_I1006996,Lauren Brazzale,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1006996.png,12,Richmond,11,1,0,0.5,2
CD_I1006997,Stephanie Cain,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1006997.png,20,Essendon,16,2.25,0.166666667,4,12
