player.jumperNumber,player.photoURL,player.player.player.playerId,player.playerJumperNumber,team,position,dateOfBirth,draftYear,heightInCm,recruitedFrom,debutYear,draftType,draftPosition,PositionCoded,ID,First.name,Surname,Games,Goals,Brownlow.Votes,name,,,
10,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1008882.png,CD_I1008882,10,Gold Coast SUNS,KEY_DEFENDER,23/07/1999,2017,196,Mitcham Hawks (SA)/Sacred Heart College (SA)/Sturt (SANFL),2019,nationalDraft,42,Defender,12625,Charlie,Ballard,134,3,4,Charlie Ballard,,,
10,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1024272.png,CD_I1024272,10,North Melbourne,MEDIUM_DEFENDER,12/04/2005,2023,182,Launceston (Tas)/Tasmania Devils U18,2024,nationalDraft,2,Defender,13107,Colby,McKercher,39,12,4,Colby McKercher,,,
13,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/993816.png,CD_I993816,13,North Melbourne,MEDIUM_DEFENDER,23/01/1997,2015,184,Horsham Saints (Vic)/North Ballarat U18/Fremantle,2016,nationalDraft,27,Defender,12426,Darcy,Tucker,156,44,2,Darcy Tucker,,,
1,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1001028.png,CD_I1001028,1,Carlton,KEY_DEFENDER,17/12/1997,2015,194,Greythorn (Vic)/Xavier College (Vic)/Oakleigh U18/Carlton,2016,fatherSon,53,Defender,12458,Jack,Silvagni,128,89,2,Jack Silvagni,,,
41,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1013197.png,CD_I1013197,41,Richmond,MEDIUM_DEFENDER,02/04/2003,2021,187,Clarence (Tas)/Tasmania U18,2025,nationalDraft,29,Defender,13078,Sam,Banks,43,6,2,Sam Banks,,,
30,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1015781.png,CD_I1015781,30,North Melbourne,KEY_DEFENDER,20/07/2001,2019,199,Sale (Vic)/Catholic College Sale (Vic)/Gippsland U18,2023,nationalDraft,31,Defender,12938,Charlie,Comben,48,8,1,Charlie Comben,,,
37,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1020668.png,CD_I1020668,37,Fremantle,KEY_DEFENDER,08/02/2004,2022,197,Rockingham (WA)/Peel Thunder (WAFL),2024,other,,Defender,12912,Josh,Draper,31,0,1,Josh Draper,,,
23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1029416.png,CD_I1029416,23,West Coast Eagles,MEDIUM_DEFENDER,06/09/2004,2023,196,Drouin Vic)/Gippsland U18/Box Hill Hawks (VFL),2024,other,1,Defender,13070,Ryan,Maric,51,17,1,Ryan Maric,,,
26,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1030433.png,CD_I1030433,26,St Kilda,KEY_DEFENDER,16/11/2006,2024,193,Warragul Blues JFC/Gippsland U18,,nationalDraft,10,Defender,13243,Alix,Tauru,10,1,0,Alix Tauru,,,
36,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1027284.png,CD_I1027284,36,Essendon,MEDIUM_DEFENDER,02/11/2006,2024,189,East Gambier FC/Glenelg (SANFL),,nationalDraft,39,Defender,13229,Angus,Clarke,14,5,0,Angus Clarke,,,
24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1027872.png,CD_I1027872,24,St Kilda,MEDIUM_DEFENDER,19/09/2005,2023,190,Geelong West Giants (Vic)/Geelong Falcons U18,2025,nationalDraft,33,Defender,13116,Angus,Hastie,14,1,0,Angus Hastie,,,
41,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1017077.png,CD_I1017077,41,St Kilda,MEDIUM_DEFENDER,02/09/2003,2022,188,Glen Iris (Vic)/Sandringham U18/Sandringham (VFL),2024,other,,Defender,13169,Angus,McLennan,3,0,0,Angus McLennan,,,
21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1023515.png,CD_I1023515,21,Essendon,MEDIUM_DEFENDER,18/11/2005,2023,184,Hampton Rovers AFC (Vic)/Sandringham Rovers U18,2025,nationalDraft,54,Defender,13168,Archie,Roberts,27,3,0,Archie Roberts,,,
27,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1024279.png,CD_I1024279,27,St Kilda,MEDIUM_DEFENDER,07/01/2005,2023,194,Launceston Football Club (Tas)/Tasmania Devils U18,2024,nationalDraft,62,Defender,13152,Arie,Schoenmaker,7,0,0,Arie Schoenmaker,,,
42,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1029261.png,CD_I1029261,42,Hawthorn,MEDIUM_DEFENDER,04/08/2004,2022,182,Surrey Park (Vic)/Wesley College (Vic)/Oakleigh U18,2025,nationalDraft,51,Defender,13069,Bailey,Macdonald,8,1,0,Bailey Macdonald,,,
32,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1002143.png,CD_I1002143,32,Essendon,KEY_DEFENDER,24/12/1997,2015,202,Warragul (Vic)/Gippsland U18/North Melbourne,2017,nationalDraft,21,Defender,12580,Ben,McKay,104,1,0,Ben McKay,,,
35,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1027678.png,CD_I1027678,35,Carlton,MEDIUM_DEFENDER,16/06/2005,2023,183,Dromana Football Netball Club (Vic)/Dandenong Stingrays U18,2024,nationalDraft,34,Defender,,Billy,Wilson,4,0,0,Billy Wilson,,,
22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1017122.png,CD_I1017122,22,Melbourne,MEDIUM_DEFENDER,07/04/2003,2021,191,Mordialloc-Braeside (Vic)/St Bede's Coll (Vic)/Sandringham U18,2024,nationalDraft,39,Defender,13098,Blake,Howes,28,1,0,Blake Howes,,,
26,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1028449.png,CD_I1028449,26,West Coast Eagles,MEDIUM_DEFENDER,16/02/2006,2024,191,Halls Head FC/Peel Thunder (WAFL),2025,nationalDraft,16,Defender,13221,Bo,Allan,6,0,0,Bo Allan,,,
35,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1024096.png,CD_I1024096,35,Sydney Swans,MEDIUM_DEFENDER,10/08/2004,2022,186,Yarrawonga (Vic)/Murray U18,2024,nationalDraft,40,Defender,13115,Caleb,Mitchell,3,0,0,Caleb Mitchell,,,
